your, thy
you, thou
deduct, abate
reject, abhor
servile, abjects
warrant, able
forebode, abode
evil, bale
adj, pelting
short, brief
primer, absey-book
pay, overbuy
cite, accite
excites, accites
be, violent
plant, mandrake
performance, acture
inclination, propension
title, magnifico
given, adoptious
indirectly, afar off
affectation, affection
full, windowed
p, writhled
confront, affront
betroth, affy
rere-supper, after-supper
figure, quintain
acknowledge, agnize
much, agood
adlayship, a-hold
aery, aiery
guess, aim
to, world
dearest, alderliefest
quite, all amort
mitigation, allay
game, tray-trip
approve, allow
in, within
liquor, alms-drink
lowest, ames-ace
anchorite, anchor
officer, sewer
addition, annexion
buffoon, zany
cavern, antre
impeach, appeach
impeachment, appeal
shrivelled, apple-john
equipment, garnish
approval, approof
apricot, apricock
mechanic, apron-man
chief, arch
large, warden
archery, arthur's show
specify, articulate
awry, askance
ass, assinego
reconcile, atone
stain, maculation
augury, augur
old, wizened
inform., avise
doll, baby
singlestick, backswordman
caper, back-trick
disgrace, baffle
belt, baldrick
balk, balk
cudgel, ballow
fierce, ban-dogs
fight, bandy
land, bank
dessert, banquet
name, tribulation
shave, barb
yeast, barm
rustic, tawdry lace
back, base court
housings, bases
basilisco, basilisco-like
sweet, muscadel
flutter, bate
which, bateless
fowling, bat-fowling
flat, flat-long
feed, batten
army, battle
fools, bauble
composed, bavin
insignificant, immoment
term, wretch
child, imp
space, bay
one, whiffler
dislike, bear hard
cloth, painted cloth
deceive, bear in hand
ox, rother
that, waist
lunatic, bedlam
when, when
cold, chill
commands, hests
dance, roundel
curse, beshrew
besmear, besmirch
mad, wood
allow, wind
discover, bewray
base, villiago
nightcap, biggin
sword-blade, bilbo
species, strappado
brown-bills=battle-axes, bill
young, hangman boys
blunt-headed, bird-bolt
blear-eyed, bisson
mourning, blacks
white, blank
blank, blanks
start, blench
inconstancies, blenches
garnished, blistered
wood, block
spirited, blood
clotted, blood-boltered
worst, blood
coarse, gaberdine
allusion, blue-bottle
withdark, blue-eyed
dagger, bodkin
hesitate, mammer
bowlines, bolins
swollen, rank
sift, bolt
sieve, bolter
leathern, bowget
cotton, bombast
showily, bona-roba
woody, busky
wind, bottom
makeleap, bound
limit, bourn
yoke, bow
quarrel, brabble
armour, vantbrace
female, brach
deceitful, braid
skull, brain-pan
fine, union
finery, bravery
french, trol-my-dames
breach, breach
voice, breath
gadfly, breese
perhaps, tirrits
pierce, broach
badger, brock
shoes, brogues
adorn, fret
pimples, bubukles
wash, launder
street, bucklersbury
object, bug
black, bugle
projecting, bulk
swaggering, swashing
pickpocket, bung
close-fitting, sallet
advertisement, bush
kiss, lip
buds, buttons
occasional, by-drinkings
cask, cade
galloon, caddis
worsted, caddis-garter
prison, durance
my, mine
kind, tharborough
whistlelure, call
drab, tom-boy
lively, pert
magazine, candle-mine
blossom, canker-blossom
small, solidare
song, chanson
makeagreementcombine, capitulate
fool, patch
comfits, caraways
meat, carbonado
cooling, card
[quart, cardecu
necklace, carkanet
clown, carl
peasant, carlot
table, carpets
huge, carrack
strip, case
helmet, casque
military, cassock
dismiss, cast
chinaman, cataian
craft, cautel
crafty, cautelous
extinction., cease
thin, taffeta
opinion, censure
wrappings, cerements
concern, touch near
cease, cesse
varying, changeable
metal, patines
handwriting, character
turn, kick at
school-house, charge-house
entrails, chaudron
escheator, creator
childish, push-pin
kid-leather, cheveril
chough, chewet
fruitful, childing
high-soled, chopine
chrisom, christom child
churl, chuff
decide, 'cide
grave, cinque-pace
circumlocution, circumstance
recital, cital
town-bred, citizen
guitar, cittern
beggars, clack-dish
at, point
beat, swings
flatter, smooth
call, clepe
clime, climate
fellow-countrymen, climatures
shrivel, cling
embrace, clip
defacer, clipper
spot, pip
nail, clout
stroke, punto
misshapen, cobloaf
cock-boatweathercock, cock
weed, cockle
twilight, cock-shut time
unripe, squash
crust, custard-coffin
cheat, cony-catch
corner-stone, coign
bustle, homage
inference, collection
sooty, collied
smallest, comma
profit, commodity
partner, rival
sensitive, comptible
learn, con
sub, sore
still, whist
venetian, consul
overcome, o'er-crow
feast, convive
high-crowned, copatain
encounterrequite, cope
companion, pew-fellow
round-topped, copped
lease, copy
quick, sprag
wencher, woodman
&amp, viol-de-gamboys
head, pash
come, hurtle
man, milliner
adrun, counter
reckoner, counter-caster
portraitpiece, counterfeit
counterpane, counterpoint
outweigh, countervail
pair, geminy
sideboard, court-cupboard
flattery, court holy-water
sink, cower
pole, cowl-staff
mean, unvalued
cobbler, cozier
boast, crack
uncurrent, cracked within the ring
blusterer, cracker
winding, windring
garland, crants
make, wreak
rivulet, creek
open, dup
hovel, crib
curled, crisp
cynic, critic
christ, cross-row
boy, crow-keeper
crewel, cruel
portuguese, cruzado
packcompany, cry
encourage, cry aim
sucked, cub-drawn
bend, curb
scrupulosity, curiosity
elegant, curious
occurrences, currents
ill-tempered, curst
cuisses, cushes
loose, jay
horse, cut
bully, swasher
take, inform
foolish, dagonet
performing, dancing horse
power, leading
terrify, dare
arrange, darraign
stigma, note
false, gourds
sofa, day-bed
dairy, day-woman
dear, dear
plague, lord's tokens
pack, deck
becoming, decent
inactive, deedless
surmise, deem
disguise, defeat
forbid, forfend
desert, demerit
looking, demuring
very, denier
eradicate, deracinate
dreary, vast
lineage, descending
point, prick
undress, uncase
fruit, dewberries
do, dich
regimen, diet
confuse, diffuse
wild, skimble-skamble
dissolve, disoandy
hatch, disclose
scout, discoverer
surfeit, disedge
efface, dislimn
tenths, dismes
pour, disponge
disposition, dispose
hostility, distance
contradict, disvouch
dab-chick, dive-dapper
variation, division
instruction, document
put, outface
down, dowle
coveringankles, down-gyved
hanging, tottering
dregs, draff
privy, draught
follow, spaniel
tapster, drawer
fox, drawn fox
weakly, dribbling
puppet, drollery
thrash, dry-beat
handle, whipstock
proverbial, dun's the mouse
sour, eager
yean, ean
plough, ear
temporary, ecstasy
equal, egal
entangle, elf
being, emballing
hindrances, embarquembnts
huntdeath, emboss
par, unjointed
dominioncountry, empery
instrument, engine
swallow, englut
tentangle, enmesh
mew, enmew
coverwithfort, ensconce
sear, ensbar
invitations, entreatments
boon, greek
candied, eringo
freak, escape
fellow, merchant
evenly, even-pleached
avoid, evitate
hair, excrement
money, vails
extremity, exigent
same, vexey
expedition, expedience
expeditious, expedient
inflated, exsufflicate
seizure, extent
wandering, extravagant
shade, eye
brave, face
burden, fading
failure, fail
present, testern
enchantress, fairy
cadence, fall
yellowish, fallow
falsify, false
love-songs, fancies
.love, fancy
seize, hent
fond, fangled
dandy, fantastic
coxcombs, fantasticoes
drunk, fap
further, far
bundle, fardel
litter, farrow
hooped, farthingale
skin, fashions
cheating, fast and loose
vat, fat
countenance, favour
features, favours
frighten, gallow
timorous, fearful
form, feature
confederate, feodary
shepherd, feeder
pasturage, feeding
grief, teen
companionable, fellowly
spouse, fere
worry, ferret
eagerness, fervency
trick, fetch
get, fettle
rarity, fewness
camp-bed, field-bed
insult, fig
canvas, table
[see, figo
disquieting, figures
defile, file
shafts, fills
without, moulten
foppish, neat
meteor, fire-drake
grasp, fist
polecat, fitchew
inflammation, fives
broad, great morning
pancake, flap-jack
sandbank, flat
crack, flaw
outbursts, flaws
spotted, flecked
flews, flewed
twinkle, twire
long, side sleeves
swift, flighty
light, giglot
lock, flock
wave, flote
ornamentsounding, flourish
pt, valanged
thrustthrust, foin
or, lantern
kickseize, foot
lay, garner
first, primal
advantagebest, fore-hand
arrow, fore-hand shaft
inventive, forgetive
tongue, fork
delay, forslow
fortified, forted
straight, forth-right
seller, posset-seller
expression, push
cunning, foxship
unquiet, frampold
sty, frank
yeoman, franklin
innocent, free
springs, freshes
stops, frbts
outwork, frontier
band, frontlet
break, frush
sharp-pointed, gad
pledge, gage
misgiving, gain-giving
proceeding, gait
scoff, gird
medley, gallimaufry
heavy, gallowglasses
knave, gallows
cry, waul
disturbance, garboil
glittering, garish
ghastliness, gastness
festive, gaudy
toys, gawds
dupe, geck
offspring, generation
nobility, generosity
ennoble, gentle
courtesy, gentry
seeds, germens
period, gest
acts, gests
visit, ghost
speak, propose
hang, gibbet
top, gig
double, gimmal
gang, ging
reportgive, give out
scoffs, gleeks
snarling, gnarling
tworship, god
god, mark
wealthy, good
big-bellied, gorbellied
throat, gorge
sponsor, gossip
subdrop, gout
kermes, grain
dyed, grained
farm, grange
reward, gratify
gratifying, gratulate
sorrow-stricken, grief-shot
begrime, grime
griffin, gripe
step, grize
tinge, grizzle
original, ground
vulgar, popular
havestrong, grow to
two, guards
trimmings, guards
dutch, guilder
red, umber
gullet, gulf
velvet, velure
taste, gust
condition, habitude
grow, waxen
nature, hair
mutilated, half-checked bit
interhall!crymake, hall
contract, hand-fast
feats, hardiments
harlotsilly, harlotry
disquiet, harrow
vex, harry
half, sand-blind
haughty, haught
rear, haunch
intercry, havoc
hawk-like, hawking
circular, hay
armed, head
company, sort
run, heat
deep, vast of night
word, skeins-mates
fever, hectic
skulk, hedge
clergyman, hedge-priest
heavings, hefts
steer, helm
incurable, untented
page, henchman
rue, herb of grace
globe, hercules and his load
beadsman, hermit
soundrepresentwhizzing, hewgh
kinds, high and low
athead, high-battled
holiday, high-day
alone, high lone
conspicuously, high-viced
menial, hilding
have, lipsbury pinfold
irene, hiren
agree, hit together
principal, hobby-horse
perhapshaggis, hodge-pudding
burthen, holding
halidom, holidame
rural, holy-ales
fondling, honeying
clover, honey-stalks
person, hoodman
blind, winking
clock, horologe
lodge, host
notbe, hot at hand
bagnio, h0t-house
hough, hox
float, hull
floating, hulling
tunesarousehuntsman, hunts-up
waterspout, hurricano
harmless, hurtless
clashing, hurtling
management, husbandry
hy&aeligna, hyen
supposed, ice brook
ignominy, ignomy
illuminate, illume
wanting, needful
secure, imbar
ferocity, immanity
directness, immediacy
dull, unpregnant
importunity, importance
urgent, important
command, impose
abscess, imfosthume
device, impress
dye, incarnardine
piecemeal, inch-meal
immediately, incontinent
adsame, incontinently
delicate, incony
introduction, induction
adf., inexecrable
crazy, informal
possess, inherit
civilized, inland
idiot, innocent
causing, insane
madness, insanie
inscription, insculpture
persistency, insisture
motive, instance
agent, intelligencer
going, squandering
pretend, intend
design, pretence
unretentive, intenible
aim, intention
ady., intentively
harduntie, intpinse
reproachfully, invectively
invisible, invincible
intimate, inward
intimacy, inwardness
unfeeling, iron-witted
lawless, irregulous
repetition, iterance
certainly, iwis
stuffed, lure
keys, jacks
saucy, jack-sauce
drive, jade
worn, jaded
tick, jar
spanish, jennet
foot, jesses
strutadvance, jet
ludicrous, kicky-wicky
composing, jiggung
split, joint-ring
blockhead, thick-skin
diurnal, journal
like, martial
judicial, judicious
riskagreejust, jump
minister, justicer
crooked, kam
hemlock, kecksies
cool, keel
roll, keech
guard, ward
cheap, lockram
light-armed, kern
kettle-drum, kettle
tuning, wrest
stone-cold, key-cold
chilblainchap, kibe
trifle, kickshaw
fireplace, kiln-hole
bring, scandal
unnatural, kindless
